category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,Buoy,monument,,,,,53.7612801,-2.7413546,,,,,,1906691085,node,2026-03-06T09:52:37.364532
attractions,Nelson Buoy,monument,,,,,53.7625437,-2.7413707,,,,,,1906691092,node,2026-03-06T09:52:37.364534
attractions,Buoy,monument,,,,,53.7595294,-2.7422327,,,,,,1906691181,node,2026-03-06T09:52:37.364536
attractions,Buoy,monument,,,,,53.7612464,-2.7413557,,,,,,1906691198,node,2026-03-06T09:52:37.364538
attractions,Sebastopol Cannon,monument,,,,,53.7527799,-2.6963681,,,,,,1914411537,node,2026-03-06T09:52:37.364540
attractions,Inglewhite Cross,monument,,,,,53.8539599,-2.6904447,,,,,,1948087414,node,2026-03-06T09:52:37.364541
attractions,Mount Cross,monument,,,,,53.7418463,-2.130961,,,,,,2445802715,node,2026-03-06T09:52:37.364546
attractions,Millennium Bench,monument,,,,,53.6415824,-2.338338,,,,,,3124731201,node,2026-03-06T09:52:37.364548
attractions,Weir War Memorial,monument,,,,,53.7366221,-2.2097468,,,,,,3586390828,node,2026-03-06T09:52:37.364550
attractions,Lightning XS921 (replica),attraction,,,,,53.7795352,-2.5704446,,,,,,4143702889,node,2026-03-06T09:52:37.364552
